date,stockNombreTotalDoses,stockNombreDosesPfizer,stockNombreDosesModerna,stockEhpadNombreDosesPfizer,nouvellesPremieresInjections,prisesRendezVousSemaineRang1,prisesRendezVousSemaineRang2,totalPrisesRendezVousSemaine,nouvelles_livraisonsNombreTotalDoses,nouvelles_livraisonsNombreDosesPfizer,nouvelles_livraisonsNombreDosesModerna
2021-08-08,3232932,2926872,191630,4865778,72520,1621218,1183651,2811647,3674280,2578680,1095600
2021-08-09,3232932,2926872,191630,4865778,256078,1165727,1323526,2495274,3674280,2578680,1095600
2021-08-10,3232932,2926872,191630,4865778,302893,1165727,1323526,2495274,3674280,2578680,1095600
2021-08-11,3232932,2926872,191630,4865778,276510,1165727,1323526,2495274,3674280,2578680,1095600
2021-08-12,3232932,2926872,191630,5191554,268712,1165727,1323526,2495274,3674280,2578680,1095600
2021-08-13,3341728,2823468,417890,5191554,249769,1165727,1323526,2495274,3674280,2578680,1095600
2021-08-14,3341728,2823468,417890,5191554,143807,1165727,1323526,2495274,3674280,2578680,1095600
2021-08-15,3341728,2823468,417890,5191554,37614,1165727,1323526,2495274,4285050,2579850,1705200
2021-08-16,3341728,2823468,417890,5191554,184087,802150,1641290,2449538,4285050,2579850,1705200
2021-08-17,3341728,2823468,417890,5191554,213072,802150,1641290,2449538,4285050,2579850,1705200
2021-08-18,3341728,2823468,417890,5191554,196622,802150,1641290,2449538,4285050,2579850,1705200
2021-08-19,3341728,2823468,417890,5965476,189967,802150,1641290,2449538,4285050,2579850,1705200
2021-08-20,3743816,3230406,414850,5965476,183597,802150,1641290,2449538,4285050,2579850,1705200
2021-08-21,3743816,3230406,414850,5965476,103758,802150,1641290,2449538,4285050,2579850,1705200
2021-08-22,3743816,3230406,414850,5965476,31443,802150,1641290,2449538,5405310,3536910,1868400
2021-08-23,3743816,3230406,414850,5965476,139361,600011,1756700,2365527,5405310,3536910,1868400
2021-08-24,3743816,3230406,414850,5965476,160719,600011,1756700,2365527,5405310,3536910,1868400
2021-08-25,3743816,3230406,414850,5965476,149030,600011,1756700,2365527,5405310,3536910,1868400
2021-08-26,3743816,3230406,414850,7113828,141053,600011,1756700,2365527,5405310,3536910,1868400
2021-08-27,4627893,4142688,387800,7113828,146443,600011,1756700,2365527,5405310,3536910,1868400
2021-08-28,4627893,4142688,387800,7113828,89681,600011,1756700,2365527,5405310,3536910,1868400
2021-08-29,4627893,4142688,387800,7113828,26834,600011,1756700,2365527,4211820,3751020,460800
2021-08-30,4627893,4142688,387800,7113828,115480,467137,1372621,1929107,4211820,3751020,460800
2021-08-31,4627893,4142688,387800,7113828,127353,467137,1372621,1929107,4211820,3751020,460800
2021-09-01,4627893,4142688,387800,7113828,119245,467137,1372621,1929107,4211820,3751020,460800
2021-09-02,4627893,4142688,387800,7113828,102532,467137,1372621,1929107,4211820,3751020,460800
2021-09-03,5318224,4862364,377750,8457324,112749,467137,1372621,1929107,4211820,3751020,460800
2021-09-04,5318224,4862364,377750,8457324,87183,467137,1372621,1929107,4211820,3751020,460800
2021-09-05,5318224,4862364,377750,8457324,20714,467137,1372621,1929107,3678690,2593890,1084800
2021-09-06,5318224,4862364,377750,8457324,68835,290361,855817,1278756,3678690,2593890,1084800
2021-09-07,5318224,4862364,377750,8457324,73308,290361,855817,1278756,3678690,2593890,1084800
2021-09-08,5318224,4862364,377750,8457324,83765,290361,855817,1278756,3678690,2593890,1084800
2021-09-09,5318224,4862364,377750,8457324,70822,290361,855817,1278756,3678690,2593890,1084800
2021-09-10,6015974,5545944,402340,8457324,89089,290361,855817,1278756,3678690,2593890,1084800
2021-09-11,6015974,5545944,402340,8457324,63960,290361,855817,1278756,3678690,2593890,1084800
2021-09-12,6015974,5545944,402340,8457324,12158,290361,855817,1278756,3102990,2535390,567600
2021-09-13,6015974,5545944,402340,8457324,57379,225367,615464,987027,3102990,2535390,567600
2021-09-14,6015974,5545944,402340,10072710,68928,225367,615464,987027,3102990,2535390,567600
2021-09-15,6015974,5545944,402340,10072710,70701,225367,615464,987027,3102990,2535390,567600
2021-09-16,6210792,5776242,377670,9257838,59575,225367,615464,987027,3102990,2535390,567600
2021-09-17,6210792,5776242,377670,9257838,70759,225367,615464,987027,3102990,2535390,567600
2021-09-18,6210792,5776242,377670,9257838,45779,225367,615464,987027,3102990,2535390,567600
