date,stockNombreTotalDoses,stockNombreDosesPfizer,stockNombreDosesModerna,stockEhpadNombreDosesPfizer,nouvellesPremieresInjections,prisesRendezVousSemaineRang1,prisesRendezVousSemaineRang2,totalPrisesRendezVousSemaine,nouvelles_livraisonsNombreTotalDoses,nouvelles_livraisonsNombreDosesPfizer,nouvelles_livraisonsNombreDosesModerna
2021-08-17,3341728,2823468,417890,5191554,213226,802331,1641498,2449916,4285050,2579850,1705200
2021-08-18,3341728,2823468,417890,5191554,196817,802331,1641498,2449916,4285050,2579850,1705200
2021-08-19,3341728,2823468,417890,5965476,190101,802331,1641498,2449916,4285050,2579850,1705200
2021-08-20,3743816,3230406,414850,5965476,183962,802331,1641498,2449916,4285050,2579850,1705200
2021-08-21,3743816,3230406,414850,5965476,103819,802331,1641498,2449916,4285050,2579850,1705200
2021-08-22,3743816,3230406,414850,5965476,31473,802331,1641498,2449916,5405310,3536910,1868400
2021-08-23,3743816,3230406,414850,5965476,139508,599672,1756358,2364823,5405310,3536910,1868400
2021-08-24,3743816,3230406,414850,5965476,160908,599672,1756358,2364823,5405310,3536910,1868400
2021-08-25,3743816,3230406,414850,5965476,149190,599672,1756358,2364823,5405310,3536910,1868400
2021-08-26,3743816,3230406,414850,7113828,141151,599672,1756358,2364823,5405310,3536910,1868400
2021-08-27,4627893,4142688,387800,7113828,146529,599672,1756358,2364823,5405310,3536910,1868400
2021-08-28,4627893,4142688,387800,7113828,89755,599672,1756358,2364823,5405310,3536910,1868400
2021-08-29,4627893,4142688,387800,7113828,26880,599672,1756358,2364823,4211820,3751020,460800
2021-08-30,4627893,4142688,387800,7113828,115895,466928,1372483,1928580,4211820,3751020,460800
2021-08-31,4627893,4142688,387800,7113828,127554,466928,1372483,1928580,4211820,3751020,460800
2021-09-01,4627893,4142688,387800,7113828,124283,466928,1372483,1928580,4211820,3751020,460800
2021-09-02,4627893,4142688,387800,7113828,105040,466928,1372483,1928580,4211820,3751020,460800
2021-09-03,5318224,4862364,377750,8457324,114332,466928,1372483,1928580,4211820,3751020,460800
2021-09-04,5318224,4862364,377750,8457324,88178,466928,1372483,1928580,4211820,3751020,460800
2021-09-05,5318224,4862364,377750,8457324,20848,466928,1372483,1928580,3678690,2593890,1084800
2021-09-06,5318224,4862364,377750,8457324,70747,290138,856183,1278815,3678690,2593890,1084800
2021-09-07,5318224,4862364,377750,8457324,74085,290138,856183,1278815,3678690,2593890,1084800
2021-09-08,5318224,4862364,377750,8457324,84884,290138,856183,1278815,3678690,2593890,1084800
2021-09-09,5318224,4862364,377750,8457324,71649,290138,856183,1278815,3678690,2593890,1084800
2021-09-10,6015974,5545944,402340,8457324,90703,290138,856183,1278815,3678690,2593890,1084800
2021-09-11,6015974,5545944,402340,8457324,64952,290138,856183,1278815,3678690,2593890,1084800
2021-09-12,6015974,5545944,402340,8457324,12290,290138,856183,1278815,3102990,2535390,567600
2021-09-13,6015974,5545944,402340,8457324,59354,225307,615455,986863,3102990,2535390,567600
2021-09-14,6015974,5545944,402340,10072710,69946,225307,615455,986863,3102990,2535390,567600
2021-09-15,6015974,5545944,402340,10072710,72136,225307,615455,986863,3102990,2535390,567600
2021-09-16,6210792,5776242,377670,9257838,60807,225307,615455,986863,3102990,2535390,567600
2021-09-17,6210792,5776242,377670,9257838,71961,225307,615455,986863,3102990,2535390,567600
2021-09-18,6210792,5776242,377670,9257838,46402,225307,615455,986863,3102990,2535390,567600
2021-09-19,6210792,5776242,377670,9257838,7427,225307,615455,986863,3652900,1638000,1657300
2021-09-20,6210792,5776242,377670,9257838,40457,147263,470074,757781,3652900,1638000,1657300
2021-09-21,6210792,5776242,377670,9257838,43807,147263,470074,757781,3652900,1638000,1657300
2021-09-22,6210792,5776242,377670,9257838,46157,147263,470074,757781,3652900,1638000,1657300
2021-09-23,6210792,5776242,377670,9257838,41215,147263,470074,757781,3652900,1638000,1657300
2021-09-24,8353923,7935288,366500,11518746,50125,147263,470074,757781,3652900,1638000,1657300
2021-09-25,8353923,7935288,366500,11518746,32831,147263,470074,757781,3652900,1638000,1657300
2021-09-26,8353923,7935288,366500,11518746,5094,147263,470074,757781,3894790,1657890,1558000
2021-09-27,8353923,7935288,366500,11518746,32137,137134,316009,604385,3894790,1657890,1558000
2021-09-28,8353923,7935288,366500,11518746,34552,137134,316009,604385,3894790,1657890,1558000
2021-09-29,8353923,7935288,366500,11518746,42240,137134,316009,604385,3894790,1657890,1558000
2021-09-30,8353923,7935288,366500,11518746,34033,137134,316009,604385,3894790,1657890,1558000
2021-10-01,8983702,8579472,355860,11894286,45189,137134,316009,604385,3894790,1657890,1558000
2021-10-02,8983702,8579472,355860,11894286,35132,137134,316009,604385,3894790,1657890,1558000
2021-10-03,8983702,8579472,355860,11894286,4752,137134,316009,604385,6761960,4116060,2645900
2021-10-04,8983702,8579472,355860,11894286,27617,119579,232207,554380,6761960,4116060,2645900
2021-10-05,8983702,8579472,355860,11894286,28778,119579,232207,554380,6761960,4116060,2645900
2021-10-06,8983702,8579472,355860,11894286,38411,119579,232207,554380,6761960,4116060,2645900
2021-10-07,8983702,8579472,355860,11894286,27901,119579,232207,554380,6761960,4116060,2645900
2021-10-08,9026327,8652372,348820,13297506,43213,119579,232207,554380,6761960,4116060,2645900
2021-10-09,9026327,8652372,348820,13297506,31946,119579,232207,554380,6761960,4116060,2645900
2021-10-10,9026327,8652372,348820,13297506,3807,119579,232207,554380,1234800,0,1234800
2021-10-11,9026327,8652372,348820,13297506,26771,102087,168630,498259,1234800,0,1234800
2021-10-12,9026327,8652372,348820,13297506,28229,102087,168630,498259,1234800,0,1234800
2021-10-13,9026327,8652372,348820,13297506,37176,102087,168630,498259,1234800,0,1234800
2021-10-14,8654042,8308812,322830,12676740,27767,102087,168630,498259,1234800,0,1234800
2021-10-15,8654042,8308812,322830,12676740,40877,102087,168630,498259,1234800,0,1234800
2021-10-16,8654042,8308812,322830,12676740,29467,102087,168630,498259,1234800,0,1234800
2021-10-17,8654042,8308812,322830,12676740,3189,102087,168630,498259,3480030,1227330,2252700
2021-10-18,8654042,8308812,322830,12676740,24935,30797,127104,324893,3480030,1227330,2252700
2021-10-19,8654042,8308812,322830,12676740,24935,30797,127104,324893,3480030,1227330,2252700
