date,deces,gueris,decesEhpad,reanimation,casConfirmes,hospitalises,testsPositifs,testsRealises,casConfirmesEhpad,casPossiblesEhpad,nouvellesReanimations,stockNombreTotalDoses,stockNombreDosesPfizer,stockNombreDosesModerna,cumulPremieresInjections,nouvellesHospitalisations,stockEhpadNombreDosesPfizer,nouvellesPremieresInjections,prisesRendezVousSemaineRang1,prisesRendezVousSemaineRang2,totalPrisesRendezVousSemaine,livraisonsCumulNombreTotalDoses,livraisonsCumulNombreDosesPfizer,livraisonsCumulNombreDosesModerna,r0
2020-07-21,19649,79734,10516,455,177338,6482,1100,89313,39554,,12,,,,,109,,,,,,,,,1.39
2020-07-22,19656,79957,10516,445,178336,6366,1173,89283,39554,,17,,,,,132,,,,,,,,,1.41
2020-07-23,19666,80472,10516,436,179398,5957,1152,88357,39554,,13,,,,,123,,,,,,,,,1.42
2020-07-24,19676,80815,10516,410,180528,5720,1278,96195,39554,,16,,,,,126,,,,,,,,,1.43
2020-07-25,19664,80915,10516,368,181636,5634,627,43401,39554,,8,,,,,86,,,,,,,,,1.43
2020-07-26,19665,80947,10516,367,182565,5640,264,14992,39554,,1,,,,,36,,,,,,,,,1.42
2020-07-27,19693,81082,10516,398,183079,5655,1429,103287,39554,,25,,,,,118,,,,,,,,,1.4
2020-07-28,19708,81311,10515,385,183804,5551,1366,104057,39638,,22,,,,,172,,,,,,,,,1.39
2020-07-29,19723,81500,10515,380,185196,5450,1478,108087,39638,,14,,,,,118,,,,,,,,,1.38
2020-07-30,19739,81667,10515,381,186573,5375,1549,105728,39638,,14,,,,,116,,,,,,,,,1.36
2020-07-31,19750,81881,10515,371,187919,5298,1637,110211,39638,,16,,,,,152,,,,,,,,,1.36
2020-08-01,19736,82016,10515,344,189547,5177,794,47672,39638,,11,,,,,77,,,,,,,,,1.35
2020-08-02,19737,82029,10515,345,190739,5188,250,16527,39638,,3,,,,,25,,,,,,,,,1.35
2020-08-03,19779,82166,10515,384,191295,5198,2021,113443,39638,,29,,,,,142,,,,,,,,,1.36
2020-08-04,19790,82318,10506,388,192334,5162,2012,106729,39645,,21,,,,,139,,,,,,,,,1.36
2020-08-05,19799,82460,10506,384,194029,5148,1961,106577,39645,,15,,,,,137,,,,,,,,,1.37
2020-08-06,19806,82670,10506,390,195633,5060,2165,109853,39645,,21,,,,,141,,,,,,,,,1.37
2020-08-07,19818,82836,10506,383,197921,5011,2303,112139,39645,,20,,,,,136,,,,,,,,,1.37
2020-08-08,19800,82881,10506,366,200105,4981,1005,49804,39645,,12,,,,,73,,,,,,,,,1.37
2020-08-09,19800,82886,10506,368,201990,4992,441,17136,39645,,4,,,,,14,,,,,,,,,1.36
2020-08-10,19834,83047,10506,396,202775,5045,2838,116892,39645,,28,,,,,180,,,,,,,,,1.36
2020-08-11,19849,83237,10505,391,204172,5012,2692,106637,39744,,21,,,,,191,,,,,,,,,1.37
2020-08-12,19866,83472,10505,379,206696,4891,2892,111735,39744,,17,,,,,143,,,,,,,,,1.38
2020-08-13,19883,83663,10505,374,209365,4864,3546,121163,39744,,25,,,,,201,,,,,,,,,1.39
2020-08-14,19901,83848,10505,367,212211,4828,3879,132851,39744,,20,,,,,173,,,,,,,,,1.41
2020-08-15,19904,83880,10505,353,215521,4817,770,26853,39744,,15,,,,,87,,,,,,,,,1.44
2020-08-16,19905,83921,10505,376,218536,4860,689,22105,39744,,2,,,,,33,,,,,,,,,1.46
2020-08-17,19924,84065,10505,384,219029,4925,5019,154341,39744,,34,,,,,234,,,,,,,,,1.48
2020-08-18,19940,84309,10511,380,221267,4823,4739,145398,39930,,28,,,,,185,,,,,,,,,1.5
2020-08-19,19957,84467,10511,374,225043,4806,4851,145186,39930,,31,,,,,162,,,,,,,,,1.5
2020-08-20,19969,84642,10511,380,229814,4748,5135,153884,39930,,28,,,,,149,,,,,,,,,1.5
2020-08-21,19992,84829,10511,379,234400,4745,5131,164860,39930,,37,,,,,210,,,,,,,,,1.49
2020-08-22,20001,84950,10511,380,238002,4711,2238,69464,39930,,10,,,,,115,,,,,,,,,1.48
2020-08-23,20002,84973,10511,383,242899,4709,1010,23588,39930,,6,,,,,29,,,,,,,,,1.46
2020-08-24,20017,85199,10511,399,244854,4690,6977,187204,39930,,43,,,,,233,,,,,,,,,1.45
2020-08-25,20038,85524,10506,410,248158,4600,6797,177699,40043,,49,,,,,265,,,,,,,,,1.44
2020-08-26,20034,85731,10506,373,253587,4535,6678,182038,40043,,21,,,,,215,,,,,,,,,1.43
2020-08-27,20070,85984,10506,381,259698,4535,7408,195124,40043,,32,,,,,225,,,,,,,,,1.43
2020-08-28,20089,86177,10507,387,267077,4535,7616,201686,40083,,32,,,,,241,,,,,,,,,1.42
2020-08-29,20095,86298,10507,400,272530,4530,3022,84891,40083,,28,,,,,135,,,,,,,,,1.41
2020-08-30,20099,86310,10507,402,277943,4535,1314,27782,40083,,5,,,,,23,,,,,,,,,1.4
2020-08-31,20128,86469,10507,409,281025,4582,9489,219614,40083,,45,,,,,254,,,,,,,,,1.39
2020-09-01,20147,86712,10514,424,286007,4604,8859,196210,40300,,54,,,,,300,,,,,,,,,1.37
2020-09-02,20172,86963,10514,446,293024,4632,9071,195211,40300,,57,,,,,317,,,,,,,,,1.35
2020-09-03,20192,87206,10514,464,300181,4643,9756,203260,40300,,55,,,,,307,,,,,,,,,1.34
2020-09-04,20210,87447,10476,473,309156,4671,10087,217610,40300,,46,,,,,292,,,,,,,,,1.33
2020-09-05,20222,87579,10476,482,317706,4839,4051,93223,40300,,23,,,,,168,,,,,,,,,1.32
2020-09-06,20225,87608,10476,486,324777,4905,1470,28461,40300,,8,,,,,66,,,,,,,,,1.31
2020-09-07,20250,87836,10476,537,328980,4907,12263,244275,40300,,83,,,,,448,,,,,,,,,1.3
2020-09-08,20289,88226,10475,574,335524,4960,11663,241301,40876,,86,,,,,490,,,,,,,,,1.3
2020-09-09,20319,88524,10475,599,344101,5003,11333,237363,40876,,71,,,,,386,,,,,,,,,1.29
2020-09-10,20338,88742,10475,615,353944,5096,12053,251244,40876,,54,,,,,352,,,,,,,,,1.28
2020-09-11,20378,89059,10515,635,363350,5155,11285,260554,41389,,64,,,,,447,,,,,,,,,1.27
2020-09-12,20395,89231,10515,662,373911,5195,4496,101940,41389,,51,,,,,243,,,,,,,,,1.25
2020-09-13,20401,89270,10515,669,381094,5247,1568,29140,41389,,18,,,,,98,,,,,,,,,1.24
2020-09-14,20435,89507,10515,712,387252,5498,14736,275457,41389,,104,,,,,545,,,,,,,,,1.22
2020-09-15,20471,89891,10528,759,395104,5679,13529,265938,42047,,117,,,,,642,,,,,,,,,1.21
2020-09-16,20517,90335,10528,803,404888,5819,13450,247179,42047,,100,,,,,649,,,,,,,,,1.19
2020-09-17,20567,90840,10528,800,415481,5844,13732,244134,42047,,81,,,,,599,,,,,,,,,1.18
2020-09-18,20689,91574,10560,827,428696,5819,13285,244457,42699,,100,,,,,850,,,,,,,,,1.17
2020-09-19,20714,92319,10560,834,442194,5512,5203,94908,42699,,73,,,,,470,,,,,,,,,1.16
2020-09-20,20725,92582,10560,841,452763,5375,1805,29833,42699,,24,,,,,139,,,,,,,,,1.14
2020-09-21,20778,93008,10560,919,458061,5616,15641,243053,42699,,143,,,,,754,,,,,,,,,1.13
2020-09-22,20845,93538,10571,951,468069,5796,14223,219114,43555,,130,,,,,783,,,,,,,,,1.11
2020-09-23,20888,93982,10571,1002,481141,5932,12993,202551,43555,,124,,,,,649,,,,,,,,,1.09
2020-09-24,20940,94413,10571,1048,497237,6031,12722,203427,43555,,124,,,,,613,,,,,,,,,1.07
2020-09-25,20995,94891,10666,1098,513034,6128,12280,209735,44471,,129,,,,,661,,,,,,,,,1.04
2020-09-26,21034,95303,10666,1111,527446,6172,4801,84881,44471,,89,,,,,503,,,,,,,,,1.02
2020-09-27,21061,95426,10666,1118,538569,6253,1387,23339,44471,,47,,,,,241,,,,,,,,,1
2020-09-28,21142,95774,10666,1164,542639,6415,13723,218603,44471,,137,,,,,619,,,,,,,,,0.99
2020-09-29,21201,96327,10692,1204,550690,6500,12788,195949,45090,,165,,,,,698,,,,,,,,,0.99
2020-09-30,21264,96797,10692,1238,563535,6590,13332,187812,45090,,135,,,,,650,,,,,,,,,1
2020-10-01,21327,97271,10692,1265,577505,6652,14638,191768,45090,,142,,,,,626,,,,,,,,,1.03
2020-10-02,21374,97778,10781,1276,589653,6758,16197,205973,45701,,120,,,,,721,,,,,,,,,1.06
2020-10-03,21417,98230,10781,1295,606625,6758,7226,89128,45701,,103,,,,,532,,,,,,,,,1.11
